"";"municipio";"uf"
"1";"ARAÇÁS";"BA"
"2";"CAEM";"BA"
"3";"IUIU";"BA"
"4";"MUQUÉM DO SÃO FRANCISCO";"BA"
"5";"QUINJINGUE";"BA"
"6";"SANTA TEREZINHA";"BA"
"7";"SANTO ESTEVÃO";"BA"
"8";"ACRE";"BR"
"9";"ALAGOAS";"BR"
"10";"AMAPÁ";"BR"
"11";"AMAZONAS";"BR"
"12";"BAHIA";"BR"
"13";"BRASIL";"BR"
"14";"CEARÁ";"BR"
"15";"ESPÍRITO SANTO";"BR"
"16";"GOIÁS";"BR"
"17";"MARANHÃO";"BR"
"18";"MATO GROSSO";"BR"
"19";"MATO GROSSO DO SUL";"BR"
"20";"MINAS GERAIS";"BR"
"21";"PARÁ";"BR"
"22";"PARAÍBA";"BR"
"23";"PARANÁ";"BR"
"24";"PERNAMBUCO";"BR"
"25";"PIAUÍ";"BR"
"26";"RIO DE JANEIRO";"BR"
"27";"RIO GRANDE DO NORTE";"BR"
"28";"RIO GRANDE DO SUL";"BR"
"29";"RONDÔNIA";"BR"
"30";"RORAIMA";"BR"
"31";"SANTA CATARINA";"BR"
"32";"SÃO PAULO";"BR"
"33";"SERGIPE";"BR"
"34";"TOCANTINS";"BR"
"35";"ITAPAGÉ";"CE"
"36";"ATÍLIO VIVÁCQUA";"ES"
"37";"ANHANGÜERA";"GO"
"38";"OLHOS D'ÁGUA";"MG"
"39";"PASSA VINTE";"MG"
"40";"PINGO D'ÁGUA";"MG"
"41";"SEM PEIXE";"MG"
"42";"ELDORADO DOS CARAJÁS";"PA"
"43";"SANTA ISABEL DO PARÁ";"PA"
"44";"SÃO DOMINGOS DE POMBAL";"PB"
"45";"BELÉM DE SÃO FRANCISCO";"PE"
"46";"IGUARACI";"PE"
"47";"SÃO VICENTE FÉRRER";"PE"
"48";"LUIS CORREIA";"PI"
"49";"ANTONIO OLINTO";"PR"
"50";"SANTO ANTONIO DO CAIUÁ";"PR"
"51";"TRAJANO DE MORAIS";"RJ"
"52";"ASSÚ";"RN"
"53";"BOA SAÚDE";"RN"
"54";"CAMPO GRANDE";"RN"
"55";"OLHO D'ÁGUA DO BORGES";"RN"
"56";"ALTA FLORESTA DO OESTE";"RO"
"57";"ALVORADA DO OESTE";"RO"
"58";"ESPIGÃO DO OESTE";"RO"
"59";"MACHADINHO DO OESTE";"RO"
"60";"NOVA BRASILÂNDIA DO OESTE";"RO"
"61";"SANTA LUZIA DO OESTE";"RO"
"62";"SÃO FELIPE DO OESTE";"RO"
"63";"SANTANA DO LIVRAMENTO";"RS"
"64";"GRÃO-PARÁ";"SC"
"65";"LAURO MÜLLER";"SC"
"66";"LUÍS ALVES";"SC"
"67";"PRESIDENTE CASTELO BRANCO";"SC"
"68";"SÃO CRISTÓVÃO DO SUL";"SC"
"69";"GRACCHO CARDOSO";"SE"
"70";"BIRITIBA MIRIM";"SP"
"71";"FLORÍNEA";"SP"
"72";"GUAIMBÉ";"SP"
"73";"ITAOCA";"SP"
"74";"COUTO DE MAGALHÃES";"TO"
"75";"SÃO VALÉRIO DA NATIVIDADE";"TO"
