"";"municipio";"uf"
"1";"MANOEL URBANO";"AC"
"2";"SANTA ROSA DO PURUS";"AC"
"3";"QUEBRANGULO";"AL"
"4";"TEOTÔNIO VILELA";"AL"
"5";"TRAIPU";"AL"
"6";"SANTO ANTÔNIO DO IÇÁ";"AM"
"7";"LARANJAL DO JARI";"AP"
"8";"PEDRA BRANCA DO AMAPARI";"AP"
"9";"VITÓRIA DO JARI";"AP"
"10";"ARAÇAS";"BA"
"11";"BARRO PRETO";"BA"
"12";"CAÉM";"BA"
"13";"CAMACAN";"BA"
"14";"ITAETÉ";"BA"
"15";"IUIÚ";"BA"
"16";"LUÍS EDUARDO MAGALHÃES";"BA"
"17";"MUQUÉM DE SÃO FRANCISCO";"BA"
"18";"PALMAS DE MONTE ALTO";"BA"
"19";"QUIJINGUE";"BA"
"20";"SANTA CRUZ CABRÁLIA";"BA"
"21";"SANTA TERESINHA";"BA"
"22";"SANTO ESTÊVÃO";"BA"
"23";"VEREDA";"BA"
"24";"ITAPAJÉ";"CE"
"25";"BRASÍLIA";"DF"
"26";"ATILIO VIVACQUA";"ES"
"27";"SANTA MARIA DE JETIBÁ";"ES"
"28";"ANHANGUERA";"GO"
"29";"ÁGUA DOCE DO MARANHÃO";"MA"
"30";"ARAIOSES";"MA"
"31";"BELA VISTA DO MARANHÃO";"MA"
"32";"CONCEIÇÃO DO LAGO-AÇU";"MA"
"33";"GOVERNADOR EDISON LOBÃO";"MA"
"34";"ITAPECURU MIRIM";"MA"
"35";"LUÍS DOMINGUES";"MA"
"36";"OLHO D'ÁGUA DAS CUNHÃS";"MA"
"37";"PRESIDENTE MÉDICI";"MA"
"38";"SÃO JOÃO DO CARÚ";"MA"
"39";"SÃO JOÃO DO SOTER";"MA"
"40";"SÃO JOSÉ DOS BASÍLIOS";"MA"
"41";"SÃO LUÍS GONZAGA DO MARANHÃO";"MA"
"42";"SÃO RAIMUNDO DO DOCA BEZERRA";"MA"
"43";"SENADOR LA ROCQUE";"MA"
"44";"BRAZÓPOLIS";"MG"
"45";"OLHOS-D'ÁGUA";"MG"
"46";"PASSA-VINTE";"MG"
"47";"PINGO-D'ÁGUA";"MG"
"48";"SANTA RITA DE IBITIPOCA";"MG"
"49";"SAPUCAÍ-MIRIM";"MG"
"50";"SEM-PEIXE";"MG"
"51";"PARAÍSO DAS ÁGUAS";"MS"
"52";"NOVA BANDEIRANTES";"MT"
"53";"NOVO SANTO ANTÔNIO";"MT"
"54";"ELDORADO DO CARAJÁS";"PA"
"55";"MOJUÍ DOS CAMPOS";"PA"
"56";"ALGODÃO DE JANDAÍRA";"PB"
"57";"BAÍA DA TRAIÇÃO";"PB"
"58";"BARAÚNA";"PB"
"59";"JOCA CLAUDINO";"PB"
"60";"JUAREZ TÁVORA";"PB"
"61";"QUIXABA";"PB"
"62";"SANTA CECÍLIA";"PB"
"63";"SÃO DOMINGOS";"PB"
"64";"SÃO JOSÉ DO BREJO DO CRUZ";"PB"
"65";"TACIMA";"PB"
"66";"BELÉM DO SÃO FRANCISCO";"PE"
"67";"FERNANDO DE NORONHA";"PE"
"68";"IGUARACY";"PE"
"69";"ILHA DE ITAMARACÁ";"PE"
"70";"ALAGOINHA DO PIAUÍ";"PI"
"71";"LUÍS CORREIA";"PI"
"72";"ANTÔNIO OLINTO";"PR"
"73";"DIAMANTE D'OESTE";"PR"
"74";"ITAPEJARA D'OESTE";"PR"
"75";"MUNHOZ DE MELO";"PR"
"76";"SANTA CRUZ DE MONTE CASTELO";"PR"
"77";"SANTO ANTÔNIO DO CAIUÁ";"PR"
"78";"SANTO ANTÔNIO DO PARAÍSO";"PR"
"79";"ARMAÇÃO DOS BÚZIOS";"RJ"
"80";"CAMPOS DOS GOYTACAZES";"RJ"
"81";"PARATY";"RJ"
"82";"PATY DO ALFERES";"RJ"
"83";"TRAJANO DE MORAES";"RJ"
"84";"VARRE-SAI";"RJ"
"85";"AUGUSTO SEVERO";"RN"
"86";"CERRO CORÁ";"RN"
"87";"FERNANDO PEDROZA";"RN"
"88";"JANUÁRIO CICCO";"RN"
"89";"LUÍS GOMES";"RN"
"90";"OLHO-D'ÁGUA DO BORGES";"RN"
"91";"SÃO BENTO DO TRAIRÍ";"RN"
"92";"SÃO JOSÉ DO CAMPESTRE";"RN"
"93";"VENHA-VER";"RN"
"94";"ALTA FLORESTA D'OESTE";"RO"
"95";"ALVORADA D'OESTE";"RO"
"96";"ESPIGÃO D'OESTE";"RO"
"97";"MACHADINHO D'OESTE";"RO"
"98";"NOVA BRASILÂNDIA D'OESTE";"RO"
"99";"SANTA LUZIA D'OESTE";"RO"
"100";"SÃO FELIPE D'OESTE";"RO"
"101";"AMAJARI";"RR"
"102";"SÃO JOÃO DA BALIZA";"RR"
"103";"SÃO LUIZ";"RR"
"104";"CANGUÇU";"RS"
"105";"ENTRE-IJUÍS";"RS"
"106";"MAÇAMBARÁ";"RS"
"107";"NOVO XINGU";"RS"
"108";"PANTANO GRANDE";"RS"
"109";"PINTO BANDEIRA";"RS"
"110";"SANT'ANA DO LIVRAMENTO";"RS"
"111";"SINIMBU";"RS"
"112";"TAQUARUÇU DO SUL";"RS"
"113";"BALNEÁRIO RINCÃO";"SC"
"114";"GRÃO PARÁ";"SC"
"115";"LAURO MULLER";"SC"
"116";"LUIZ ALVES";"SC"
"117";"PESCARIA BRAVA";"SC"
"118";"PRESIDENTE CASTELLO BRANCO";"SC"
"119";"SÃO CRISTOVÃO DO SUL";"SC"
"120";"AMPARO DE SÃO FRANCISCO";"SE"
"121";"CANINDÉ DE SÃO FRANCISCO";"SE"
"122";"GRACHO CARDOSO";"SE"
"123";"ARCO-ÍRIS";"SP"
"124";"BADY BASSITT";"SP"
"125";"BIRITIBA-MIRIM";"SP"
"126";"EMBU DAS ARTES";"SP"
"127";"IPAUSSU";"SP"
"128";"LUIZIÂNIA";"SP"
"129";"MOGI GUAÇU";"SP"
"130";"MOGI MIRIM";"SP"
"131";"SANTO ANTÔNIO DE POSSE";"SP"
"132";"SUD MENNUCCI";"SP"
"133";"TARABAI";"SP"
"134";"BANDEIRANTES DO TOCANTINS";"TO"
"135";"COUTO MAGALHÃES";"TO"
"136";"MONTE SANTO DO TOCANTINS";"TO"
"137";"SÃO VALÉRIO";"TO"
